time	from	to
2019-07-01T00:00:00	28	31	
2019-07-01T00:00:00	28	29	
2019-07-01T00:00:00	29	31	
2019-07-01T00:00:00	29	28	
2019-07-01T00:00:00	31	28	
2019-07-01T00:00:00	31	29	
2019-07-01T00:00:00	39	73	
2019-07-01T00:00:00	39	74	
2019-07-01T00:00:00	39	40	
2019-07-01T00:00:00	40	73	
2019-07-01T00:00:00	40	39	
2019-07-01T00:00:00	40	74	
2019-07-01T00:00:00	68	71	
2019-07-01T00:00:00	68	70	
2019-07-01T00:00:00	70	71	
2019-07-01T00:00:00	70	68	
2019-07-01T00:00:00	71	68	
2019-07-01T00:00:00	71	70	
2019-07-01T00:00:00	73	39	
2019-07-01T00:00:00	73	74	
2019-07-01T00:00:00	73	40	
2019-07-01T00:00:00	74	73	
2019-07-01T00:00:00	74	39	
2019-07-01T00:00:00	74	40	
2019-07-01T00:00:00	79	80	
2019-07-01T00:00:00	79	112	
2019-07-01T00:00:00	80	79	
2019-07-01T00:00:00	80	112	
2019-07-01T00:00:00	112	80	
2019-07-01T00:00:00	112	79	
2019-07-01T00:00:00	163	192	
2019-07-01T00:00:00	163	194	
2019-07-01T00:00:00	192	163	
2019-07-01T00:00:00	192	194	
2019-07-01T00:00:00	194	192	
2019-07-01T00:00:00	194	163	
2019-07-02T00:00:00	1	14	
2019-07-02T00:00:00	1	33	
2019-07-02T00:00:00	2	137	
2019-07-02T00:00:00	3	11	
2019-07-02T00:00:00	9	58	
2019-07-02T00:00:00	9	19	
2019-07-02T00:00:00	10	20	
2019-07-02T00:00:00	11	3	
2019-07-02T00:00:00	13	25	
2019-07-02T00:00:00	14	33	
2019-07-02T00:00:00	14	1	
2019-07-02T00:00:00	19	9	
2019-07-02T00:00:00	20	10	
2019-07-02T00:00:00	25	13	
2019-07-02T00:00:00	26	172	
2019-07-02T00:00:00	28	31	
2019-07-02T00:00:00	28	29	
2019-07-02T00:00:00	29	31	
2019-07-02T00:00:00	29	28	
2019-07-02T00:00:00	30	224	
2019-07-02T00:00:00	31	28	
2019-07-02T00:00:00	31	29	
2019-07-02T00:00:00	32	97	
2019-07-02T00:00:00	33	14	
2019-07-02T00:00:00	33	1	
2019-07-02T00:00:00	36	99	
2019-07-02T00:00:00	39	73	
2019-07-02T00:00:00	39	74	
2019-07-02T00:00:00	39	40	
2019-07-02T00:00:00	40	73	
2019-07-02T00:00:00	40	39	
2019-07-02T00:00:00	40	74	
2019-07-02T00:00:00	41	196	
2019-07-02T00:00:00	42	171	
2019-07-02T00:00:00	43	221	
2019-07-02T00:00:00	45	72	
2019-07-02T00:00:00	46	68	
2019-07-02T00:00:00	52	65	
2019-07-02T00:00:00	52	75	
2019-07-02T00:00:00	53	213	
2019-07-02T00:00:00	55	79	
2019-07-02T00:00:00	56	104	
2019-07-02T00:00:00	56	120	
2019-07-02T00:00:00	56	82	
2019-07-02T00:00:00	57	81	
2019-07-02T00:00:00	57	62	
2019-07-02T00:00:00	58	77	
2019-07-02T00:00:00	58	9	
2019-07-02T00:00:00	62	57	
2019-07-02T00:00:00	65	52	
2019-07-02T00:00:00	66	69	
2019-07-02T00:00:00	67	197	
